2024-09-25 06:36:11.098 [info] Default formatter is set to null for workspace /home/kittanaiyam
2024-09-25 07:32:33.490 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:32:38.645 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:32:41.635 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:32:43.935 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:32:47.214 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:32:49.645 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:32:51.806 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:32:58.260 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:33:00.340 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:34:04.536 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:34:09.370 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:34:10.340 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:34:13.055 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:34:14.435 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:34:21.905 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
